mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
668881,Hunter Greene,CIN,0,0,0,0,0,0,0,0,0,0,0.000,6.0,1,0,7,3,4,0,4.50,0.67
664023,Ian Happ,CHC,12,9,2,0,0,0,1,3,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
693855,Ian Seymour,TB,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,4,3,2,2,9.00,1.33
545121,Ildemaro Vargas,AZ,4,4,0,0,0,0,1,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
686555,Isaac Collins,KC,12,12,0,0,3,0,3,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
676755,Isaac Mattson,PIT,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,5,0,2,0,0.00,0.67
670623,Isaac Paredes,HOU,14,12,0,0,1,0,4,1,0,1,0.357,0.0,0,0,0,0,0,0,0.00,0.00
671056,Iván Herrera,STL,17,16,2,0,1,0,3,0,0,1,0.176,0.0,0,0,0,0,0,0,0.00,0.00
641487,J.P. Crawford,SEA,14,9,0,0,0,0,1,5,0,0,0.429,0.0,0,0,0,0,0,0,0.00,0.00
669372,J.T. Ginn,ATH,0,0,0,0,0,0,0,0,0,0,0.000,6.1,1,0,7,0,1,3,0.00,0.63
592663,J.T. Realmuto,PHI,11,10,0,0,0,0,4,1,0,0,0.455,0.0,0,0,0,0,0,0,0.00,0.00
668709,JJ Bleday,CIN,13,11,2,0,0,1,3,2,0,0,0.385,0.0,0,0,0,0,0,0,0.00,0.00
802139,JJ Wetherholt,STL,16,15,3,1,2,0,5,1,0,0,0.375,0.0,0,0,0,0,0,0,0.00,0.00
